번호,포지션,이름,생년월일(나이),소속팀
1,GK,김승규,1990년 9월 30일 (27세),비셀 고베
2,DF,이용,1986년 12월 27일 (31세),전북 현대 모터스
3,DF,정승현,1994년 4월 3일 (24세),사간 도스
4,DF,오반석,1988년 5월 20일 (30세),제주 유나이티드
5,DF,윤영선,1988년 10월 4일 (29세),성남 FC
6,DF,박주호,1987년 1월 16일 (31세),울산 현대
7,FW,손흥민,1992년 7월 8일 (25세),토트넘 핫스퍼 FC
8,MF,주세종,1990년 10월 30일 (27세),아산 무궁화 FC
9,FW,김신욱,1988년 4월 14일 (30세),전북 현대 모터스
10,MF,이승우,1998년 1월 6일 (20세),엘라스 베로나 FC
11,FW,황희찬,1996년 1월 26일(22세),FC 레드불 잘츠부르크
12,DF,김민우,1990년 2월 25일 (28세),상주 상무
13,MF,구자철,1989년 2월 27일 (29세),FC 아우크스부르크
14,DF,홍철,1990년 9월 17일 (27세),상주 상무
15,MF,정우영,1989년 12월 14일 (28세),비셀 고베
16,MF,기성용,1989년 1월 24일 (29세),스완지 시티 AFC
17,MF,이재성,1992년 8월 10일 (25세),전북 현대 모터스
18,MF,문선민,1992년 6월 9일 (25세),인천 유나이티드 FC
19,DF,김영권,1990년 2월 27일 (28세),광저우 헝다
20,DF,장현수,1991년 9월 28일 (26세),FC 도쿄
21,GK,김진현,1987년 7월 6일 (30세),세레소 오사카
22,DF,고요한,1988년 3월 10일 (30세),FC 서울
23,GK,조현우,1991년 9월 25일 (26세),대구 FC