역명,일평균
가락시장(3),"10,019"
가락시장(8),"7,257"
가산디지털단지(7),"38,762"
강남,"100,672"
강남구청,"14,544"
강동,"19,356"
강동구청,"10,603"
강변,"48,327"
개롱,"6,828"
개화산,"5,981"
거여,"6,835"
건대입구(2),"44,952"
건대입구(7),"16,838"
경복궁,"25,109"
경찰병원,"7,562"
고덕,"9,609"
고려대,"9,675"
고속터미널(3),"60,943"
고속터미널(7),"21,366"
공덕(5),"13,131"
공덕(6),"17,709"
공릉,"13,024"
광나루,"14,433"
광명사거리,"27,101"
광화문,"36,837"
광흥창,"9,579"
교대(2),"36,211"
교대(3),"14,568"
구로디지털단지,"62,463"
구산,"8,257"
구의,"23,547"
구파발,"20,391"
군자(5),"11,127"
군자(7),"14,547"
굴포천,"9,105"
굽은다리,"9,881"
금호,"8,713"
길동,"7,635"
길음,"26,406"
김포공항(5),"7,868"
까치산(5),"30,060"
까치울,"6,907"
낙성대,"30,518"
남구로,"15,987"
남부터미널,"35,280"
남성,"11,751"
남태령,"2,703"
남한산성입구,"14,575"
내방,"14,204"
노원(4),"23,103"
노원(7),"21,038"
녹번,"13,046"
녹사평,"7,406"
논현,"19,019"
단대오거리,"11,828"
답십리,"16,916"
당고개,"13,649"
당산,"21,355"
대림(2),"30,484"
대림(7),"10,891"
대청,"10,162"
대치,"12,411"
대흥,"8,417"
도곡,"6,753"
도림천,"1,083"
도봉산(7),"9,358"
독립문,"8,233"
독바위,"2,969"
돌곶이,"9,480"
동대문(1),"15,660"
동대문(4),"25,363"
동대문역사문화공원(2),"19,184"
동대문역사문화공원(4),"23,443"
동대문역사문화공원(5),"2,835"
동대입구,"11,807"
동묘앞(1),"10,374"
동묘앞(6),"9,153"
동작,"3,300"
둔촌동,"12,075"
디지털미디어시티(6),"14,175"
뚝섬,"16,462"
뚝섬유원지,"9,422"
마곡,"6,096"
마들,"12,216"
마장,"6,285"
마천,"5,236"
마포,"13,948"
마포구청,"13,801"
망원,"13,681"
매봉,"11,159"
먹골,"10,771"
면목,"16,128"
명동,"39,979"
명일,"8,297"
모란(8),"4,808"
목동,"18,456"
몽촌토성,"6,991"
무악재,"4,281"
문래,"18,809"
문정,"12,615"
미아,"18,810"
미아사거리,"32,227"
반포,"6,460"
발산,"14,156"
방배,"20,638"
방이,"7,202"
방화,"7,632"
버티고개,"2,487"
보라매,"9,297"
보문,"8,316"
복정(8),"10,933"
봉천,"23,377"
봉화산,"9,587"
부천시청,"12,620"
부천종합운동장,"5,560"
부평구청(7),"11,865"
불광(3),"19,607"
불광(6),"5,724"
사가정,"15,936"
사당(2),"42,107"
사당(4),"29,797"
산성,"6,338"
삼각지(4),"5,190"
삼각지(6),"7,564"
삼산체육관,"5,523"
삼성,"56,078"
상계,"21,903"
상도,"11,462"
상동,"14,316"
상봉(7),"17,283"
상수,"11,102"
상왕십리,"13,023"
상월곡,"6,283"
상일동,"11,596"
새절,"13,859"
서대문,"17,045"
서울대입구,"52,856"
서울역(1),"58,795"
서울역(4),"12,365"
서초,"22,442"
석계(6),"13,315"
석촌,"8,733"
선릉,"53,242"
성수,"26,206"
성신여대입구,"26,388"
송정,"9,422"
송파,"5,531"
수락산,"14,312"
수서,"17,524"
수유,"43,763"
수진,"5,311"
숙대입구,"16,981"
숭실대입구,"15,328"
시청(1),"25,062"
시청(2),"24,049"
신금호,"5,991"
신길(5),"3,132"
신답,"1,390"
신당(2),"15,149"
신당(6),"8,530"
신대방,"28,713"
신대방삼거리,"16,237"
신도림,"61,142"
신림,"70,558"
신사,"30,594"
신설동(1),"15,870"
신설동(2),"4,135"
신용산,"13,247"
신정,"14,550"
신정네거리,"9,826"
신중동,"14,340"
신촌,"49,724"
신풍,"11,638"
신흥,"4,858"
쌍문,"33,859"
아차산,"15,273"
아현,"10,367"
안국,"26,084"
안암,"13,754"
암사,"18,130"
압구정,"33,833"
애오개,"7,185"
약수(3),"14,386"
약수(6),"3,676"
양재,"40,045"
양천구청,"6,999"
양평(5),"6,121"
어린이대공원,"16,386"
여의나루,"11,688"
여의도(5),"22,526"
역삼,"44,784"
역촌,"3,883"
연신내(3),"42,870"
영등포구청(2),"21,552"
영등포구청(5),"3,667"
영등포시장,"8,658"
오금(3),"6,907"
오금(5),"3,654"
오목교,"25,071"
옥수,"10,341"
온수(7),"10,640"
올림픽공원,"6,393"
왕십리(2),"20,142"
왕십리(5),"5,209"
용답,"2,806"
용두,"2,329"
용마산,"6,427"
우장산,"15,688"
월곡,"13,051"
월드컵경기장,"7,631"
을지로3가(2),"20,093"
을지로3가(3),"9,400"
을지로4가(2),"12,487"
을지로4가(5),"4,938"
을지로입구,"48,836"
응암,"17,947"
이대,"20,163"
이수(7),"16,927"
이수(총신대입구),"22,045"
이촌,"9,784"
이태원,"17,459"
일원,"8,871"
잠실(2),"88,971"
잠실(8),"13,912"
잠실나루,"17,431"
잠실새내,"26,566"
잠원,"6,163"
장승배기,"11,184"
장암,"2,524"
장지,"16,962"
장한평,"18,642"
제기동,"19,994"
종각,"45,507"
종로3가(1),"35,390"
종로3가(3),"8,937"
종로3가(5),"14,476"
종로5가,"26,335"
종합운동장,"15,869"
중계,"15,891"
중곡,"10,286"
중화,"11,341"
증산,"10,627"
지축,"1,214"
창동,"29,911"
창신,"3,550"
천왕,"8,531"
천호(5),"20,798"
천호(8),"18,681"
철산,"24,360"
청구(5),"4,100"
청구(6),"3,806"
청담,"20,207"
청량리,"27,930"
춘의,"8,675"
충무로(4),"32,077"
충정로(2),"11,503"
충정로(5),"4,573"
태릉입구(6),"5,361"
태릉입구(7),"9,344"
하계,"20,391"
학동,"20,875"
학여울,"3,007"
한강진,"7,347"
한성대입구,"16,759"
한양대,"11,302"
합정(2),"32,908"
합정(6),"14,951"
행당,"8,439"
혜화,"42,721"
홍대입구,"78,563"
홍제,"20,165"
화곡,"29,603"
화랑대,"13,199"
회현,"30,409"
효창공원앞,"7,296"