Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
1,Wii Sports,Wii,"2,006",Sports,Nintendo,41.49,29.02,3.77,8.46,82.74
2,Super Mario Bros.,NES,"1,985",Platform,Nintendo,29,4,7,0.77,40.24
3,Mario Kart Wii,Wii,"2,008",Racing,Nintendo,16,13,4,3.31,35.82
4,Wii Sports Resort,Wii,"2,009",Sports,Nintendo,16,11,3,2.96,33
5,Pokemon Red/Pokemon Blue,GB,"1,996",Role-Playing,Nintendo,11,9,10,1,31.37
6,Tetris,GB,"1,989",Puzzle,Nintendo,23,2,4,0.58,30.26
7,New Super Mario Bros.,DS,"2,006",Platform,Nintendo,11.38,9.23,6.5,2.9,30.01
8,Wii Play,Wii,"2,006",Misc,Nintendo,14.03,9.2,2.93,2.85,29.02
9,New Super Mario Bros. Wii,Wii,"2,009",Platform,Nintendo,14.59,7.06,4.7,2.26,28.62
10,Duck Hunt,NES,"1,984",Shooter,Nintendo,26.93,0.63,0.28,0.47,28.31
11,Nintendogs,DS,"2,005",Simulation,Nintendo,9.07,11,1.93,2.75,24.76
12,Mario Kart DS,DS,"2,005",Racing,Nintendo,9.81,7.57,4.13,1.92,23.42
13,Pokemon Gold/Pokemon Silver,GB,"1,999",Role-Playing,Nintendo,9,6.18,7.2,0.71,23.1
14,Wii Fit,Wii,"2,007",Sports,Nintendo,8.94,8.03,3.6,2.15,22.72
15,Wii Fit Plus,Wii,"2,009",Sports,Nintendo,9.09,8.59,2.53,1.79,22
16,Kinect Adventures!,X360,"2,010",Misc,Microsoft Game Studios,14.97,4.94,0.24,1.67,21.82
17,Grand Theft Auto V,PS3,"2,013",Action,Take-Two Interactive,7.01,9.27,0.97,4.14,21.4
18,Grand Theft Auto: San Andreas,PS2,"2,004",Action,Take-Two Interactive,9.43,0.4,0.41,10.57,20.81
19,Super Mario World,SNES,"1,990",Platform,Nintendo,12.78,3.75,3.54,0.55,20.61
20,Brain Age: Train Your Brain in Minutes a Day,DS,"2,005",Misc,Nintendo,4.75,9.26,4.16,2.05,20.22
21,Pokemon Diamond/Pokemon Pearl,DS,"2,006",Role-Playing,Nintendo,6.42,4.52,6.04,1.37,18.36
22,Super Mario Land,GB,"1,989",Platform,Nintendo,10.83,2.71,4.18,0.42,18.14
23,Super Mario Bros. 3,NES,"1,988",Platform,Nintendo,9.54,3.44,3.84,0.46,17.28
24,Grand Theft Auto V,X360,"2,013",Action,Take-Two Interactive,9.63,5.31,0.06,1.38,16.38
25,Grand Theft Auto: Vice City,PS2,"2,002",Action,Take-Two Interactive,8.41,5.49,0.47,1.78,16.15
26,Pokemon Ruby/Pokemon Sapphire,GBA,"2,002",Role-Playing,Nintendo,6.06,3.9,5.38,0.5,15.85
27,Pokemon Black/Pokemon White,DS,"2,010",Role-Playing,Nintendo,5.57,3.28,5.65,0.82,15.32
28,Brain Age 2: More Training in Minutes a Day,DS,"2,005",Puzzle,Nintendo,3.44,5.36,5.32,1.18,15.3
29,Gran Turismo 3: A-Spec,PS2,"2,001",Racing,Sony Computer Entertainment,7,5.09,1.87,1.16,14.98
30,Call of Duty: Modern Warfare 3,X360,"2,011",Shooter,Activision,9,4.28,0.13,1.32,14.76
31,Pokémon Yellow: Special Pikachu Edition,GB,"1,998",Role-Playing,Nintendo,6,5.04,3.12,0.59,14.64
32,Call of Duty: Black Ops,X360,"2,010",Shooter,Activision,10,3.73,0.11,1.13,14.64
33,Pokemon X/Pokemon Y,3DS,"2,013",Role-Playing,Nintendo,5,4.05,4.34,0.79,14.35
34,Call of Duty: Black Ops 3,PS4,"2,015",Shooter,Activision,6,5.81,0.35,2.31,14.24
35,Call of Duty: Black Ops II,PS3,"2,012",Shooter,Activision,5,5.88,0.65,2.52,14.03
36,Call of Duty: Black Ops II,X360,"2,012",Shooter,Activision,8,4.3,0.07,1.12,13.73
37,Call of Duty: Modern Warfare 2,X360,"2,009",Shooter,Activision,9,3.63,0.08,1.29,13.51
38,Call of Duty: Modern Warfare 3,PS3,"2,011",Shooter,Activision,5.54,5.82,0.49,1.62,13.46
39,Grand Theft Auto III,PS2,"2,001",Action,Take-Two Interactive,6.99,4.51,0.3,1.3,13.1
40,Super Smash Bros. Brawl,Wii,"2,008",Fighting,Nintendo,6.75,2.61,2.66,1.02,13.04
41,Call of Duty: Black Ops,PS3,"2,010",Shooter,Activision,5.98,4.44,0.48,1.83,12.73
42,Animal Crossing: Wild World,DS,"2,005",Simulation,Nintendo,2.55,3.52,5.33,0.88,12.27
43,Mario Kart 7,3DS,"2,011",Racing,Nintendo,4.74,3.91,2.67,0.89,12.21
44,Halo 3,X360,"2,007",Shooter,Microsoft Game Studios,7.97,2.83,0.13,1.21,12.14
45,Grand Theft Auto V,PS4,"2,014",Action,Take-Two Interactive,3.8,5.81,0.36,2.02,11.98
46,Pokemon HeartGold/Pokemon SoulSilver,DS,"2,009",Action,Nintendo,4.4,2.77,3.96,0.77,11.9
47,Super Mario 64,N64,"1,996",Platform,Nintendo,6.91,2.85,1.91,0.23,11.89
48,Gran Turismo 4,PS2,"2,004",Racing,Sony Computer Entertainment,3.01,0.01,1.1,7.53,11.66
49,Super Mario Galaxy,Wii,"2,007",Platform,Nintendo,6.16,3.4,1.2,0.76,11.52
50,Pokemon Omega Ruby/Pokemon Alpha Sapphire,3DS,"2,014",Role-Playing,Nintendo,4.23,3.37,3.08,0.65,11.33
51,Super Mario Land 2: 6 Golden Coins,GB,"1,992",Adventure,Nintendo,6.16,2.04,2.69,0.29,11.18
52,Grand Theft Auto IV,X360,"2,008",Action,Take-Two Interactive,6.76,3.1,0.14,1.03,11.02
53,Gran Turismo,PS,"1,997",Racing,Sony Computer Entertainment,4.02,3.87,2.54,0.52,10.95
54,Super Mario 3D Land,3DS,"2,011",Platform,Nintendo,4.89,2.99,2.13,0.78,10.79
55,Gran Turismo 5,PS3,"2,010",Racing,Sony Computer Entertainment,2.96,4.88,0.81,2.12,10.77
56,Call of Duty: Modern Warfare 2,PS3,"2,009",Shooter,Activision,4.99,3.69,0.38,1.63,10.69
57,Grand Theft Auto IV,PS3,"2,008",Action,Take-Two Interactive,4.76,3.76,0.44,1.62,10.57
58,Super Mario All-Stars,SNES,"1,993",Platform,Nintendo,5.99,2.15,2.12,0.29,10.55
59,Pokemon FireRed/Pokemon LeafGreen,GBA,"2,004",Role-Playing,Nintendo,4.34,2.65,3.15,0.35,10.49
60,Super Mario 64,DS,"2,004",Platform,Nintendo,5.08,3.11,1.25,0.98,10.42
61,Just Dance 3,Wii,"2,011",Misc,Ubisoft,6.05,3.15,0,1.07,10.26
62,Call of Duty: Ghosts,X360,"2,013",Shooter,Activision,6.72,2.63,0.04,0.82,10.21
63,Halo: Reach,X360,"2,010",Shooter,Microsoft Game Studios,7.03,1.98,0.08,0.78,9.88
64,Mario Kart 64,N64,"1,996",Racing,Nintendo,5.55,1.94,2.23,0.15,9.87
65,New Super Mario Bros. 2,3DS,"2,012",Platform,Nintendo,3.66,3.07,2.47,0.63,9.82
66,Halo 4,X360,"2,012",Shooter,Microsoft Game Studios,6.63,2.36,0.04,0.73,9.76
67,Final Fantasy VII,PS,"1,997",Role-Playing,Sony Computer Entertainment,3.01,2.47,3.28,0.96,9.72
68,Call of Duty: Ghosts,PS3,"2,013",Shooter,Activision,4.09,3.73,0.38,1.38,9.59
69,Just Dance 2,Wii,"2,010",Misc,Ubisoft,5.84,2.89,0.01,0.78,9.52
70,Gran Turismo 2,PS,"1,999",Racing,Sony Computer Entertainment,3.88,3.42,1.69,0.5,9.49
71,Call of Duty 4: Modern Warfare,X360,"2,007",Shooter,Activision,5.91,2.38,0.13,0.9,9.32
72,Donkey Kong Country,SNES,"1,994",Platform,Nintendo,4.36,1.71,3,0.23,9.3
73,Minecraft,X360,"2,013",Misc,Microsoft Game Studios,5.58,2.83,0.02,0.77,9.2
74,Animal Crossing: New Leaf,3DS,"2,012",Simulation,Nintendo,2.01,2.32,4.36,0.41,9.09
75,Mario Party DS,DS,"2,007",Misc,Nintendo,4.46,1.88,1.98,0.7,9.02
76,The Elder Scrolls V: Skyrim,X360,"2,011",Role-Playing,Bethesda Softworks,5.03,2.86,0.1,0.85,8.84
77,Super Mario Kart,SNES,"1,992",Racing,Nintendo,3.54,1.24,3.81,0.18,8.76
78,FIFA 16,PS4,"2,015",Sports,Electronic Arts,1.11,6.06,0.06,1.26,8.49
79,Wii Party,Wii,"2,010",Misc,Nintendo,1.79,3.53,2.49,0.68,8.49
80,Halo 2,XB,"2,004",Shooter,Microsoft Game Studios,6.82,1.53,0.05,0.08,8.49
81,Mario Party 8,Wii,"2,007",Misc,Nintendo,3.81,2.3,1.58,0.73,8.42
82,Pokemon Black 2/Pokemon White 2,DS,"2,012",Role-Playing,Nintendo,2.91,1.86,3.14,0.43,8.33
83,FIFA Soccer 13,PS3,"2,012",Action,Electronic Arts,1.06,5.05,0.13,2.01,8.24
84,The Sims 3,PC,"2,009",Simulation,Electronic Arts,0.98,6.42,0,0.71,8.11
85,GoldenEye 007,N64,"1,997",Shooter,Nintendo,5.8,2.01,0.13,0.15,8.09
86,Mario & Sonic at the Olympic Games,Wii,"2,007",Sports,Sega,2.58,3.9,0.66,0.91,8.06
87,Final Fantasy X,PS2,"2,001",Role-Playing,Sony Computer Entertainment,2.91,2.07,2.73,0.33,8.05